N=1024;N=512;N=256;N=128;N=64;N=32;N=16;N=8
396;425;;;;;;
159;370;;;;;;
539;315;;;;;;
227;221;;;;;;
309;422;;;;;;
771;364;;;;;;
896;235;;;;;;
649;317;;;;;;
214;451;;;;;;
331;343;;;;;;
188;412;;;;;;
449;222;;;;;;
302;433;;;;;;
217;453;;;;;;
404;372;;;;;;
551;127;;;;;;
609;237;;;;;;
596;426;;;;;;
333;243;;;;;;
119;454;;;;;;
650;347;;;;;;
541;376;;;;;;
218;238;;;;;;
310;428;;;;;;
339;457;;;;;;
773;318;;;;;;
368;359;;;;;;
229;465;;;;;;
408;245;;;;;;
233;349;;;;;;
420;434;;;;;;
230;399;;;;;;
657;436;;;;;;
610;458;;;;;;
542;363;;;;;;
652;407;;;;;;
600;191;;;;;;
123;246;;;;;;
175;365;;;;;;
313;350;;;;;;
314;460;;;;;;
391;411;;;;;;
555;249;;;;;;
220;481;;;;;;
450;371;;;;;;
774;423;;;;;;
658;466;;;;;;
334;468;;;;;;
612;413;;;;;;
395;440;;;;;;
341;250;;;;;;
777;366;;;;;;
424;482;;;;;;
355;427;;;;;;
125;373;;;;;;
234;223;;;;;;
183;414;;;;;;
583;472;;;;;;
207;252;;;;;;
557;374;;;;;;
241;429;;;;;;
342;377;;;;;;
397;435;;;;;;
673;455;;;;;;
660;484;;;;;;
616;430;;;;;;
563;319;;;;;;
778;378;;;;;;
432;459;;;;;;
236;239;;;;;;
316;437;;;;;;
558;488;;;;;;
357;461;;;;;;
287;380;;;;;;
187;247;;;;;;
674;467;;;;;;
345;438;;;;;;
398;441;;;;;;
403;462;;;;;;
664;351;;;;;;
785;469;;;;;;
587;367;;;;;;
624;442;;;;;;
452;251;;;;;;
780;470;;;;;;
361;415;;;;;;
565;496;;;;;;
126;483;;;;;;
242;444;;;;;;
456;473;;;;;;
215;375;;;;;;
405;253;;;;;;
676;254;;;;;;
705;485;;;;;;
346;431;;;;;;
786;474;;;;;;
189;379;;;;;;
244;486;;;;;;
566;489;;;;;;
409;476;;;;;;
589;381;;;;;;
647;439;;;;;;
358;490;;;;;;
303;463;;;;;;
362;382;;;;;;
569;497;;;;;;
464;443;;;;;;
706;492;;;;;;
680;498;;;;;;
595;471;;;;;;
419;445;;;;;;
406;255;;;;;;
590;500;;;;;;
801;446;;;;;;
788;475;;;;;;
190;487;;;;;;
348;504;;;;;;
219;477;;;;;;
570;491;;;;;;
311;478;;;;;;
369;383;;;;;;
543;493;;;;;;
708;499;;;;;;
421;494;;;;;;
802;501;;;;;;
651;447;;;;;;
688;502;;;;;;
597;505;;;;;;
231;506;;;;;;
792;479;;;;;;
248;508;;;;;;
480;495;;;;;;
572;503;;;;;;
335;507;;;;;;
410;509;;;;;;
425;510;;;;;;
370;511;;;;;;
315;;;;;;;
611;;;;;;;
598;;;;;;;
804;;;;;;;
833;;;;;;;
712;;;;;;;
221;;;;;;;
422;;;;;;;
653;;;;;;;
364;;;;;;;
601;;;;;;;
235;;;;;;;
317;;;;;;;
775;;;;;;;
451;;;;;;;
343;;;;;;;
659;;;;;;;
412;;;;;;;
222;;;;;;;
433;;;;;;;
453;;;;;;;
613;;;;;;;
559;;;;;;;
654;;;;;;;
834;;;;;;;
808;;;;;;;
602;;;;;;;
720;;;;;;;
372;;;;;;;
127;;;;;;;
237;;;;;;;
614;;;;;;;
426;;;;;;;
243;;;;;;;
604;;;;;;;
897;;;;;;;
661;;;;;;;
836;;;;;;;
816;;;;;;;
454;;;;;;;
779;;;;;;;
617;;;;;;;
347;;;;;;;
376;;;;;;;
238;;;;;;;
736;;;;;;;
428;;;;;;;
